index,company_name,date,ticker,cusip,reviews_url
64,acasti pharma inc,None,None,None,https://www.glassdoor.com/Reviews/Acasti-Pharma-Reviews-E6473686.htm?filter.defaultEmploymentStatuses=false&filter.defaultLocation=false&filter.employmentStatus=FREELANCE&filter.employmentStatus=PART_TIME&filter.employmentStatus=CONTRACT&filter.employmentStatus=INTERN&filter.employmentStatus=REGULAR
65,accel entertainment inc,None,None,None,https://www.glassdoor.com/Reviews/Accel-Entertainment-Reviews-E1044983.htm?filter.defaultEmploymentStatuses=false&filter.defaultLocation=false&filter.employmentStatus=FREELANCE&filter.employmentStatus=PART_TIME&filter.employmentStatus=CONTRACT&filter.employmentStatus=INTERN&filter.employmentStatus=REGULAR
66,accelerate diagnostics inc,1996-11-18T00:00:00.000000000,AXDX,00430H102,https://www.glassdoor.com/Reviews/Accelerate-Diagnostics-Reviews-E717963.htm?filter.defaultEmploymentStatuses=false&filter.defaultLocation=false&filter.employmentStatus=FREELANCE&filter.employmentStatus=PART_TIME&filter.employmentStatus=CONTRACT&filter.employmentStatus=INTERN&filter.employmentStatus=REGULAR
67,acceleron pharma inc,2013-09-19T00:00:00.000000000,XLRN,00434H108,https://www.glassdoor.com/Reviews/Acceleron-Pharma-Reviews-E230318.htm?filter.defaultEmploymentStatuses=false&filter.defaultLocation=false&filter.employmentStatus=FREELANCE&filter.employmentStatus=PART_TIME&filter.employmentStatus=CONTRACT&filter.employmentStatus=INTERN&filter.employmentStatus=REGULAR
68,accelrys inc,1995-12-05T00:00:00.000000000,ACCL,00430U103,https://www.glassdoor.com/Reviews/Accelrys-Reviews-E14299.htm?filter.defaultEmploymentStatuses=false&filter.defaultLocation=false&filter.employmentStatus=FREELANCE&filter.employmentStatus=PART_TIME&filter.employmentStatus=CONTRACT&filter.employmentStatus=INTERN&filter.employmentStatus=REGULAR
69,accentia biopharmaceuticals,2005-10-27T00:00:00.000000000,ABPI,00430L103,https://www.glassdoor.com/Reviews/Accentia-Reviews-E38014.htm?filter.defaultEmploymentStatuses=false&filter.defaultLocation=false&filter.employmentStatus=FREELANCE&filter.employmentStatus=PART_TIME&filter.employmentStatus=CONTRACT&filter.employmentStatus=INTERN&filter.employmentStatus=REGULAR
70,accenture plc,19860507,ACN,G1151C101,https://www.glassdoor.com/Reviews/Accenture-Reviews-E4138.htm?filter.defaultEmploymentStatuses=false&filter.defaultLocation=false&filter.employmentStatus=FREELANCE&filter.employmentStatus=PART_TIME&filter.employmentStatus=CONTRACT&filter.employmentStatus=INTERN&filter.employmentStatus=REGULAR
71,access midstream partners lp,2010-07-29T00:00:00.000000000,ACMP,00434L109,https://www.glassdoor.com/Reviews/Williams-Reviews-E736.htm?filter.defaultEmploymentStatuses=false&filter.defaultLocation=false&filter.employmentStatus=FREELANCE&filter.employmentStatus=PART_TIME&filter.employmentStatus=CONTRACT&filter.employmentStatus=INTERN&filter.employmentStatus=REGULAR
72,access national corp,None,None,None,https://www.glassdoor.com/Reviews/Access-National-Reviews-E23317.htm?filter.defaultEmploymentStatuses=false&filter.defaultLocation=false&filter.employmentStatus=FREELANCE&filter.employmentStatus=PART_TIME&filter.employmentStatus=CONTRACT&filter.employmentStatus=INTERN&filter.employmentStatus=REGULAR
73,access plans usa inc,2000-02-10T00:00:00.000000000,AUSA,00433N106,https://www.glassdoor.com/Reviews/Access-Plans-Reviews-E9812.htm?filter.defaultEmploymentStatuses=false&filter.defaultLocation=false&filter.employmentStatus=FREELANCE&filter.employmentStatus=PART_TIME&filter.employmentStatus=CONTRACT&filter.employmentStatus=INTERN&filter.employmentStatus=REGULAR
74,access to money inc,1991-12-18T00:00:00.000000000,3AEMI,00434A103,https://www.glassdoor.com/Reviews/Access-to-Money-Reviews-E2134.htm?filter.defaultEmploymentStatuses=false&filter.defaultLocation=false&filter.employmentStatus=FREELANCE&filter.employmentStatus=PART_TIME&filter.employmentStatus=CONTRACT&filter.employmentStatus=INTERN&filter.employmentStatus=REGULAR
75,acco brands corp,None,None,None,https://www.glassdoor.com/Reviews/ACCO-Brands-Reviews-E13939.htm?filter.defaultEmploymentStatuses=false&filter.defaultLocation=false&filter.employmentStatus=FREELANCE&filter.employmentStatus=PART_TIME&filter.employmentStatus=CONTRACT&filter.employmentStatus=INTERN&filter.employmentStatus=REGULAR
76,accolade inc,2020-07-02T00:00:00.000000000,ACCD,437000000000000011977190508045271022006934749103675727123992913740517635343536168761832928493022413324288,https://www.glassdoor.com/Reviews/Accolade-Reviews-E536838.htm?filter.defaultEmploymentStatuses=false&filter.defaultLocation=false&filter.employmentStatus=FREELANCE&filter.employmentStatus=PART_TIME&filter.employmentStatus=CONTRACT&filter.employmentStatus=INTERN&filter.employmentStatus=REGULAR
